종목코드,종목명,종가,대비,등락률,상장시가총액
"196170","알테오젠","349000","12000","3.56","1.8701634E7"
"247540","에코프로비엠","186500","16500","9.71","1.8245376E7"
"086520","에코프로","124000","8300","7.17","1.6836243E7"
"277810","레인보우로보틱스","660000","36000","5.77","1.2803906E7"
"036930","주성엔지니어링","225000","-6000","-2.60","1.0458252E7"
"240810","원익IPS","174500","-8800","-4.80","8565141.0"
"058470","리노공업","96800","-7700","-7.37","7377307.0"
"403870","HPSP","83500","12000","16.78","6872050.0"
"039030","이오테크닉스","531000","-81000","-13.24","6541681.0"
"000250","삼천당제약","266000","4500","1.72","6239688.0"
"028300","HLB","45500","-600","-1.30","6060519.0"
"087010","펩트론","231500","1500","0.65","5397967.0"
"298380","에이비엘바이오","95900","4800","5.27","5369198.0"
"222800","심텍","134100","4000","3.07","5023913.0"
"178320","서진시스템","78200","3100","4.13","4977488.0"
"141080","리가켐바이오","132800","3600","2.79","4916179.0"
"108490","로보티즈","332000","2000","0.61","4866133.0"
"319660","피에스케이","165700","-4200","-2.47","4799785.0"
"095340","ISC","209500","-20500","-8.91","4440784.0"
"084370","유진테크","188000","-8100","-4.13","4308216.0"
"319400","현대무벡스","37950","-1200","-3.07","4226721.0"
"214370","케어젠","76100","1300","1.74","4087712.0"
"310210","보로노이","197500","4000","2.07","3634429.0"
"347850","디앤디파마텍","82500","-5000","-5.71","3613842.0"
"080220","제주반도체","104800","2300","2.24","3609609.0"
"095610","테스","177000","-5200","-2.85","3426720.0"
"067310","하나마이크론","50900","1950","3.98","3383029.0"
"357780","솔브레인","427000","-14500","-3.28","3321448.0"
"064760","티씨케이","290500","500","0.17","3247620.0"
"214450","파마리서치","303500","14500","5.02","3153258.0"
"131970","두산테스나","163500","-11500","-6.57","3160003.0"
"005290","동진쎄미켐","60900","1900","3.22","3104081.0"
"145020","휴젤","248000","3500","1.43","3051400.0"
"043260","성호전자","42800","-3850","-8.25","3035497.0"
"031980","피에스케이홀딩스","135600","-16700","-10.97","2923861.0"
"214150","클래시스","43800","-150","-0.34","2857322.0"
"131290","티에스이","259000","-11500","-4.25","2864910.0"
"032820","우리기술","15080","-2490","-14.17","2587806.0"
"237690","에스티팜","123800","1800","1.48","2583364.0"
"098460","고영","37400","-1750","-4.47","2567688.0"
"263750","펄어비스","40000","-1150","-2.79","2569914.0"
"089030","테크윙","67900","2600","3.98","2515942.0"
"226950","올릭스","120800","5600","4.86","2452310.0"
"257720","실리콘투","35800","1150","3.32","2347630.0"
"089970","브이엠","93900","-3100","-3.20","2326090.0"
"183300","코미코","110200","-14700","-11.77","2264093.0"
"030530","원익홀딩스","28800","-2200","-7.10","2224454.0"
"058610","에스피지","98500","3800","4.01","2184470.0"
"218410","RFHIC","79700","2700","3.51","2116309.0"
"082920","비츠로셀","46250","-650","-1.39","2096951.0"
"083650","비에이치아이","67600","-13000","-16.13","2091840.0"
"290650","엘앤씨바이오","76200","-700","-0.91","2055091.0"
"035900","JYP Ent.","55900","0","0.00","1986266.0"
"007390","네이처셀","30550","-1450","-4.53","1968491.0"
"068760","셀트리온제약","44050","1150","2.68","1955923.0"
"078600","대주전자재료","122500","1700","1.41","1914457.0"
"041510","에스엠","81200","-2400","-2.87","1859049.0"
"0009K0","에임드바이오","27750","550","2.02","1794625.0"
"140860","파크시스템스","258500","-81000","-23.86","1810138.0"
"420770","기가비스","140200","-5800","-3.97","1777141.0"
"437730","삼현","55500","1800","3.35","1759770.0"
"323280","태성","54000","400","0.75","1649051.0"
"100790","미래에셋벤처투자","30750","-8050","-20.75","1633582.0"
"060370","LS마린솔루션","31200","900","2.97","1629852.0"
"096530","씨젠","28700","650","2.32","1498886.0"
"039200","오스코텍","39250","150","0.38","1501633.0"
"166090","하나머티리얼즈","74400","1300","1.78","1471459.0"
"101490","에스앤에스텍","64200","300","0.47","1369699.0"
"090710","휴림로봇","11250","-480","-4.09","1343893.0"
"475830","오름테라퓨틱","63200","-4700","-6.92","1359642.0"
"232140","와이씨","16160","180","1.13","1325853.0"
"003380","하림지주","10910","500","4.80","1221981.0"
"032500","케이엠더블유","28400","750","2.71","1198244.0"
"195940","HK이노엔","42300","600","1.44","1198354.0"
"038500","삼표시멘트","11340","-190","-1.65","1223771.0"
"036540","SFA반도체","7370","110","1.52","1212072.0"
"065350","신성델타테크","43250","2100","5.10","1188681.0"
"417200","LS머트리얼즈","17320","720","4.34","1171744.0"
"281740","레이크머티리얼즈","17720","1230","7.46","1164745.0"
"099320","쎄트렉아이","108000","-9800","-8.32","1182738.0"
"085660","차바이오텍","12190","310","2.61","1133339.0"
"090360","로보스타","112200","-1000","-0.88","1093950.0"
"445680","큐리옥스바이오시스템즈","64800","-4100","-5.95","1114771.0"
"295310","에이치브이엠","93000","-10400","-10.06","1118538.0"
"328130","루닛","14500","-260","-1.76","1078548.0"
"074600","원익QnC","41100","-1050","-2.49","1080437.0"
"137400","피엔티","44000","2350","5.64","1042392.0"
"189300","인텔리안테크","98300","-6500","-6.20","1055496.0"
"161580","필옵틱스","44750","2450","5.79","1049041.0"
"056190","에스에프에이","27700","1000","3.75","994673.0"
"388720","유일로보틱스","85200","1700","2.04","1003771.0"
"204270","제이앤티씨","17100","680","4.14","989209.0"
"036830","솔브레인홀딩스","46750","-1650","-3.41","958561.0"
"466100","클로봇","37900","1450","3.98","964905.0"
"213420","덕산네오룩스","38850","2200","6.00","964691.0"
"124500","아이티센글로벌","41900","-1800","-4.12","972270.0"
"048410","현대바이오","9530","620","6.96","919698.0"
"033100","제룡전기","55800","4000","7.72","896282.0"
"014620","성광벤드","32900","2850","9.48","873737.0"
"035760","CJ ENM","38600","500","1.31","846465.0"
"122870","와이지엔터테인먼트","45000","-900","-1.96","841097.0"
"348370","엔켐","37600","2650","7.58","823853.0"
"293490","카카오게임즈","9130","190","2.13","819754.0"
"222080","씨아이에스","10890","160","1.49","847026.0"
"050890","쏠리드","12970","180","1.41","788012.0"
"032190","다우데이타","19820","220","1.12","759106.0"
"056080","유진로봇","19880","340","1.74","745742.0"
"121600","나노신소재","63000","5300","9.19","771983.0"
"358570","지아이이노베이션","11890","20","0.17","764073.0"
"241710","코스메카코리아","70800","2000","2.91","756144.0"
"253450","스튜디오드래곤","25450","250","0.99","764989.0"
"171090","선익시스템","74300","-4400","-5.59","750625.0"
"006730","서부T&D","11250","100","0.90","730428.0"
"052400","코나아이","49350","-600","-1.20","718698.0"
"036810","에프에스티","33500","300","0.90","725268.0"
"399720","가온칩스","59200","1700","2.96","700860.0"
"009520","포스코엠텍","15490","510","3.40","645045.0"
"348210","넥스틴","63800","2400","3.91","668433.0"
"225570","넥슨게임즈","9780","60","0.62","644113.0"
"053800","안랩","59000","1700","2.97","656464.0"
"060250","NHN KCP","15610","570","3.79","626907.0"
"253590","네오셈","14250","260","1.86","625136.0"
"112040","위메이드","18140","200","1.11","615825.0"
"015750","성우하이텍","7180","270","3.91","574400.0"
"033500","동성화인텍","19980","1320","7.07","599190.0"
"272290","이녹스첨단소재","29200","300","1.04","582175.0"
"082270","젬백스","13240","0","0.00","586124.0"
"067160","SOOP","50700","3200","6.74","582785.0"
"376300","디어유","24050","400","1.69","570909.0"
"278280","천보","43800","1250","2.94","536682.0"
"214430","아이쓰리시스템","73300","-700","-0.95","535619.0"
"211050","인카금융서비스","10350","550","5.61","509879.0"
"025980","아난티","5070","450","9.74","493316.0"
"042000","카페24","19910","910","4.79","481387.0"
"041190","우리기술투자","5710","230","4.20","479640.0"
"030520","한글과컴퓨터","20350","450","2.26","492058.0"
"018290","브이티","12820","-60","-0.47","447954.0"
"036620","감성코퍼레이션","5010","135","2.77","453424.0"
"251970","펌텍코리아","37400","550","1.49","463760.0"
"125490","한라캐스트","12460","-1170","-8.58","454819.0"
"060280","큐렉소","10870","-130","-1.18","448494.0"
"025320","시노펙스","4625","165","3.70","426251.0"
"215200","메가스터디교육","40050","-350","-0.87","415127.0"
"095660","네오위즈","19770","-10","-0.05","427753.0"
"025900","동화기업","8270","140","1.72","418109.0"
"069080","웹젠","11980","1060","9.71","370980.0"
"078340","컴투스","25550","100","0.39","308933.0"
"352480","씨앤씨인터내셔널","19210","380","2.02","261830.0"
"101730","위메이드맥스","3500","110","3.24","293312.0"
"194480","데브시스터즈","15690","1190","8.21","190306.0"